User_ID,Gender,Age,Marital_Status,Monthly_Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_12Mo,Bought_Digital_Books,Payment_Method,eReader_Adoption,Average_Spend_Monthly
9552,M,61,M,6,Yes,Yes,Yes,No,Bank Transfer,Late Majority,33.138
6757,M,27,M,28,Yes,No,Yes,No,Bank Transfer,Innovator,30.771
3599,F,29,M,1,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,42.606
6811,M,49,M,2,Yes,Yes,Yes,Yes,Website Account,Early Adopter,11.835
4104,M,29,S,4,Yes,Yes,Yes,No,Website Account,Late Majority,33.138
7226,M,60,S,2,No,Yes,Yes,Yes,Credit Card,Early Majority,2.367
7814,F,53,S,20,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,9.468
4693,F,63,S,3,Yes,Yes,Yes,No,Bank Transfer,Late Majority,4.734
7266,M,46,M,30,Yes,Yes,Yes,Yes,Monthly Billing,Innovator,21.303
5259,F,25,S,9,Yes,Yes,Yes,No,Website Account,Early Majority,40.239
7417,F,40,M,22,Yes,Yes,No,Yes,Website Account,Innovator,37.872
6795,M,29,S,6,Yes,Yes,Yes,Yes,Credit Card,Early Adopter,11.835
8669,F,49,S,9,Yes,Yes,Yes,No,Monthly Billing,Late Majority,18.936
9888,,41,M,21,Yes,Yes,Yes,Yes,Credit Card,Innovator,30.771
9181,F,47,S,28,Yes,No,No,Yes,Bank Transfer,Innovator,16.569
2792,F,43,M,6,Yes,Yes,Yes,No,Bank Transfer,Late Majority,44.973
5174,M,63,M,6,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,18.936
8702,F,37,M,27,No,Yes,Yes,Yes,Monthly Billing,Early Adopter,2.367
4318,M,1.5,S,6,Yes,Yes,Yes,No,Credit Card,Early Majority,35.505
6091,M,48,M,4,No,No,No,No,Credit Card,Late Majority,28.404
8380,F,666,M,9,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,11.835
6892,M,36,M,10,Yes,Yes,Yes,No,Bank Transfer,Early Majority,37.872
7976,F,55,S,9,Yes,No,No,No,Bank Transfer,Late Majority,26.037
7214,F,50,S,0,Yes,Yes,Yes,No,Bank Transfer,Late Majority,37.872
3369,F,48,S,7,Yes,Yes,No,No,Website Account,Late Majority,21.303
1645,F,33,S,22,Yes,Yes,Yes,Yes,Bank Transfer,Innovator,23.67
2866,F,22,S,4,Yes,No,No,Yes,Bank Transfer,Early Adopter,40.239
7014,F,21,M,8,Yes,Yes,No,Yes,Bank Transfer,Early Adopter,18.936
6177,M,49,M,9,Yes,No,Yes,No,Monthly Billing,Late Majority,30.771
6199,M,47,M,10,Yes,Yes,Yes,Yes,Monthly Billing,,14.202
4787,M,21,M,9,No,Yes,Yes,Yes,Bank Transfer,Early Adopter,26.037
1720,F,48,M,4,Yes,No,Yes,Yes,Credit Card,Early Majority,21.303
7763,F,55,S,22,Yes,Yes,Yes,No,Credit Card,Early Majority,11.835
7356,M,37,S,8,Yes,No,Yes,No,Credit Card,Early Majority,40.239
6916,M,36,M,0,Yes,No,No,No,Website Account,Late Majority,42.606
2979,F,19,M,6,No,No,Yes,Yes,Bank Transfer,Innovator,9.468
1328,M,22,S,5,Yes,No,No,No,Website Account,Early Majority,23.67
7817,M,90.5,S,8,Yes,Yes,Yes,No,Website Account,Late Majority,26.037
4937,F,46,M,19,Yes,No,Yes,Yes,Bank Transfer,Innovator,9.468
3879,F,44,M,8,Yes,Yes,Yes,No,Bank Transfer,Late Majority,16.569
1757,F,55,M,2,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,37.872
9651,M,31,M,9,Yes,No,Yes,No,Website Account,Late Majority,44.973
8096,F,18,S,9,Yes,No,Yes,No,Website Account,Early Majority,14.202
5575,F,45,S,4,No,Yes,Yes,No,Bank Transfer,Late Majority,37.872
7793,F,23,M,10,Yes,No,Yes,Yes,Bank Transfer,Innovator,30.771
4423,F,62,S,4,Yes,No,Yes,No,Website Account,Late Majority,2.367
7117,F,46,M,3,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,4.734
6974,M,62,M,1,Yes,Yes,Yes,No,Website Account,Late Majority,37.872
5928,M,65,M,9,Yes,Yes,No,No,Bank Transfer,Late Majority,2.367
6415,F,25,M,5,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,11.835
3505,M,48,S,7,Yes,Yes,No,No,Monthly Billing,Late Majority,18.936
5108,F,60,M,75,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter,2.367
9895,F,58,M,58,Yes,No,Yes,No,Bank Transfer,Early Adopter,47.34
2670,F,59,M,17,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter,18.936
8231,M,56,M,6,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter,37.872
5429,M,36,M,8,Yes,Yes,Yes,No,Website Account,Late Majority,2.367
8951,F,48,S,1,No,No,Yes,Yes,Bank Transfer,Early Majority,16.569
7488,F,22,S,2,Yes,No,Yes,No,Bank Transfer,Early Majority,35.505
3514,M,55,S,25,Yes,No,Yes,No,Bank Transfer,Early Majority,4.734
4303,F,18,S,2,Yes,Yes,Yes,Yes,Website Account,Innovator,14.202
9547,F,2445,M,0,Yes,Yes,Yes,No,Bank Transfer,,9.468
5666,F,22,M,22,Yes,Yes,Yes,No,Website Account,Early Adopter,33.138
3960,F,37,M,25,Yes,No,Yes,No,Bank Transfer,Early Adopter,35.505
4177,M,19,S,17,Yes,No,Yes,No,Website Account,Early Adopter,47.34
4838,F,53,S,6,Yes,No,Yes,No,Monthly Billing,Late Majority,35.505
9939,M,37,M,22,Yes,No,No,No,Website Account,Early Adopter,28.404
2586,M,1.5,S,8,Yes,No,Yes,No,Bank Transfer,Early Majority,47.34
7688,M,66,S,26,Yes,Yes,No,No,Bank Transfer,Early Majority,9.468
3243,M,45,M,2,Yes,No,Yes,Yes,Bank Transfer,Early Adopter,37.872
1153,M,17,S,5,Yes,No,Yes,Yes,Website Account,Early Adopter,11.835
1596,F,50,M,88,Yes,No,Yes,No,Website Account,Early Adopter,44.973
6775,F,123,M,3,Yes,Yes,Yes,No,Bank Transfer,Late Majority,9.468
5524,M,23,M,6,Yes,No,Yes,No,Website Account,Early Majority,23.67
9092,F,49,S,8,Yes,Yes,Yes,No,Bank Transfer,Late Majority,26.037
4850,M,63,M,27,Yes,Yes,No,No,Bank Transfer,Early Majority,44.973
9058,F,17,M,9,Yes,No,Yes,No,Website Account,Early Majority,44.973
4766,F,27,S,6,Yes,Yes,Yes,No,Credit Card,Early Majority,42.606
3170,M,62,M,3,Yes,No,Yes,No,Website Account,Late Majority,2.367
1858,F,56,M,23,Yes,Yes,Yes,No,Credit Card,Early Majority,30.771
9327,M,27,S,1,Yes,No,Yes,Yes,Monthly Billing,Early Adopter,16.569
9252,M,48,M,8,Yes,Yes,Yes,No,Credit Card,Late Majority,37.872
5071,M,36,S,6,No,No,Yes,Yes,Bank Transfer,Early Majority,35.505
7333,F,41,M,28,Yes,Yes,No,Yes,Website Account,Innovator,23.67
8184,M,37,M,22,Yes,Yes,No,No,Bank Transfer,Early Adopter,14.202
4148,M,27,M,7,No,Yes,Yes,No,Website Account,Late Majority,44.973
8747,F,26,M,26,Yes,No,Yes,No,Website Account,Early Adopter,42.606
