text,key,tweet.user.screen_name,Other,user.location,created_at
"(2/2) Today, we took another crucial step towards the construction of a Water Treatment Plant in Content, St Cather… https://t.co/ONsjPQ5YtG",MGFTBPWGDVK88JGYSRLINM6U4,AndrewHolnessJM,6BHH9W7LI2UUH2RA6AOLE8YKS,Jamaica,2022-11-23 21:21:30+00:00
(1/2) You have seen the investments being made in our water infrastructure across country. Many communities are rec… https://t.co/wOF8tM2leJ,6FPQJMWHHD7093TBEUTBTXWPK,AndrewHolnessJM,QYRSZ3GPAN9EPMH8JPFXBWGBV,Jamaica,2022-11-23 21:21:28+00:00
"RT @NigelClarkeJa: Today, PIOJ released its growth projection of 4.3% for the quarter ending Sep 2022 as compared with the same period in t…",M8R6R4NLS1P83IF26UG77QN4M,AndrewHolnessJM,1UNV9Z15AX0N20OSOZR7VBB4F,Jamaica,2022-11-23 18:33:19+00:00
(3/3) The New Firearms Act that recently came into effect and the 101 illegal guns surrendered to the authorities u… https://t.co/rBuF6wSM1e,U8GYRS413UKTMY7XQOABQM835,AndrewHolnessJM,86TV7GEB1TUPQ80PBV8JIZQFB,Jamaica,2022-11-23 18:18:11+00:00
"(2/3) And while all Jamaicans have a part to play, it is especially the responsibility of our elected officials to… https://t.co/HmrDCryA7j",26VR77FXD3EU281SECF1VGSRL,AndrewHolnessJM,I2M4UJWS80VF7D17CSH68LXOP,Jamaica,2022-11-23 18:17:34+00:00
(1/3) I firmly believe the heart of every Member of Parliament yearns to see a safe and secure Jamaica. https://t.co/vgbdwibNw9,5RNJ5T5JU8351K95482PTN67I,AndrewHolnessJM,QXZFGVY12KKD0J5TAE84DMRZK,Jamaica,2022-11-23 18:16:58+00:00
(2/2)…opportunities for their prosperity. The only way we will be able to achieve growth of our middle class is by… https://t.co/dsipVV8dhb,35HKDMT14E4SC07ZQEK8DDGAV,AndrewHolnessJM,6VICCOA4R1WBGAZ0H731KHKUD,Jamaica,2022-11-23 12:45:51+00:00
(1/2) Every Jamaican wants to “step up inna life” and that is the main focus of our policies and programmes. The Ja… https://t.co/BrMPiJC5Ru,8Y2V2L6GOH2YF6Z5GAXTL139L,AndrewHolnessJM,7DCQ616U1FJ0RWRRZM530OLKR,Jamaica,2022-11-23 12:45:49+00:00
"I want to reassure Jamaicans at home and abroad, that the JLP is committed to providing strong leadership and we wi… https://t.co/LgkYvCefmU",0Z4G1LGT4C66UV57FI80VPU8W,AndrewHolnessJM,T1EPR740XVUZE9R4IIHSE7AK7,Jamaica,2022-11-22 21:16:11+00:00
(6/6) Dr Hall has made an incalculable contribution to national development and Jamaica will continue to benefit fr… https://t.co/bI5Xm6Vpkq,IEFNPIQ7RQ6X996J20OI1YC9T,AndrewHolnessJM,NIHRA0EFT47CTB3BXN8HUTUVQ,Jamaica,2022-11-22 15:01:42+00:00
