text,key,tweet.user.screen_name,Other,user.location,created_at
"RT @Astro_Wakata: Hello, Jamaica! We just flew over the beautiful country! https://t.co/RFr5GcQdkv",5MW51870I6CX4SSPSVADEUJT3,MutaliskRush,N4CWQAJKMCV2AKSER3FCALK7D,,2022-11-23 22:18:29+00:00
"As a Jamaican, I advise you to leave Jamaica. 
rent-a-dreads only want a piece of your pocket,
Ps. It doesn’t sound… https://t.co/i8rKRHmRuV",KBG9RHGJEYFHXKHNJFXBCMFA7,MoMoMoestar,8LTMNVWELL9F7821TOEABILVH,Jamaica,2022-11-23 22:18:20+00:00
RT @lexCapAlott_: I need to go to Jamaica 2023 for sure !,EQV9DQMJV1BKO0YI0CNXKG4OP,koolassjay2,OOGKZJXP690V540E3ORJOXQI2,,2022-11-23 22:18:15+00:00
RT @lexCapAlott_: I need to go to Jamaica 2023 for sure !,OY76N2VDIW5OCKDQ3376O59T9,kenyaanaiya,5IBZESANTAM7PYS6TVNOHTPG0,"Jackson, MS",2022-11-23 22:18:11+00:00
"r bore the postmark of Jamaica, Long Island, and was dat       https://t.co/YisGpcWFXW",XDP0VK6MMBHVQG888K5FEKPTE,arscalover,15ROU90LFN9BW3MQ0H53LU5IA,,2022-11-23 22:17:59+00:00
"@Chloe27798323 @minespatch @DMedicEchsrick I will do etsy account fully verified and stable for all country
#Canada… https://t.co/ot1ie6ip5s",3H2HY2XVHBZC9M8QU6L5XGEI9,akoredeay1999,NI2M1YRMOUTWN3Y2M81HEV90T,,2022-11-23 22:17:56+00:00
"RT @lijitimate: Reggae Boyz beat Japan in 1998, so basically Jamaica beat Germany. Thank you all for reading.",S9X7H6RGKG4N93DKGDHDX928F,Wealthboss07,AYWXWK0M3ECRBNHEKVLC7K78F,,2022-11-23 22:17:53+00:00
"PMC 6 &amp; PMC 6.2 studio monitors:
Sound on Sound
https://t.co/S3ghJ6Vl1o
https://t.co/Jscruz2MiM...

@SeriousMusicTT… https://t.co/3TLGtx0G7C",W2VXB0B6M6YBFP9ALBQDLXGBR,SeriousMusicTT,2W8386ONP3U9403GAF791GVWK,Trinidad and Tobago,2022-11-23 22:17:46+00:00
Anyone knows a good psychologist or counselor in Jamaica. I need one ASAP!  Twitter do your thing,WDMRUFP5KSNE6IP87OZ9A1I8B,Reg_banna,9SS232E4OVZIGV6TDSMGQMLQQ,Jamaica,2022-11-23 22:17:43+00:00
We’re not everybody’s cup of tea…and we’re ok with that! Bless up anyway! Rep Jamaica to di en!!! 😁👊🏾🇯🇲. #jamaica… https://t.co/T06to0CLT2,LOJ0ASIV45QEQ9LJ21VK6UPDK,chat_patwah,HOIPYNJNM68ZCG6ZQRE12MRKI,,2022-11-23 22:17:41+00:00
"@WhimsicalWolfie I will do etsy account fully verified and stable for all country
#Canada #California #etsyshop… https://t.co/8LUTIqPMFM",V42RXRRAZFR4PC8O30WU1MY9W,akoredeay1999,NANNWH8W98S5S3Y0VU521Y0J1,,2022-11-23 22:17:23+00:00
I can see my house in this pic 📍Jamaica 🇯🇲 https://t.co/TY1WhF6hOn,CFOU0WQ4T2F5E9BQ7JFQ5SUEN,m3ccamilli0n,GXUZUVTOW2BDMCYNGW1AUWIJH,Jamaica,2022-11-23 22:17:07+00:00
RT @DreaaDgaf: Can yall spam me with your fav things to do in Jamaica? 🏝,B48K0L3T9Z2UMX8AYAOO8ZI3X,theptiana,74EN1M22VKQ79GVBCP4YC2DJL,yay area ~ eritrea,2022-11-23 22:16:57+00:00
"@enablers_org I will do etsy account fully verified and stable for all country
#Canada #California #etsyshop… https://t.co/vbAUy7Rao7",TJTSU8NHQBTQ5Z3558T1IKMEZ,akoredeay1999,EVYGSUJTYUGEWNSYNT3Y7KF6W,,2022-11-23 22:16:50+00:00
Jamaica pause at 2 tomorrow,WP9MX4B7FWORWONFTNWV5PTYN,TheWrightEffect,ULFE632VLNGWK007DP4KM371Y,"Kingston, Jamaica",2022-11-23 22:16:49+00:00
"RT @lijitimate: Reggae Boyz beat Japan in 1998, so basically Jamaica beat Germany. Thank you all for reading.",S89VQH788B3PC6AMOH6YHJ6AI,mo_nique_x,5E2MAYF0KLJL5OWIXJE98V3BZ,"Ontario, Canada",2022-11-23 22:16:27+00:00
"RT @momentsbyboothe: Signal Boost Please 🙏🏾 🚨 ‼️ 

My bredrin @FREDRISTOTLE is trying to realize his dream of being a sports journalist in…",IJJ8H8GRU55SYNLHDITFT5O5U,torpedo876,3RLW3W80T4A6OJF8F1G6N1C2D,JamaicaEye,2022-11-23 22:16:23+00:00
"@cpcbd I will do etsy account fully verified and stable for all country
#Canada #California #etsyshop #EtsySocial… https://t.co/3ZO48rTlyv",RWAQVO16OKU0Z0INGE096GSDG,akoredeay1999,9C2Q8ZK74BL8UBKYROS5S4O2H,,2022-11-23 22:16:17+00:00
"RT @JamaicaGleaner: Police Constable Lescene Edwards, who has been off the job for 19 years, returned to work last month following his murd…",HC2WHWAV81YL2T5U2VZN5ML59,lancebrown19,93OHFCYWRKV3UPBD1LJCQABAT,twitterville,2022-11-23 22:16:17+00:00
RT @yowzen_: School boy football too serious ina Jamaica ..fi 3/4 of these players not going pro after high school ..,RVXDR6M8WPSF5X3V6HPGHRRLI,jamarcleary,EAHUYN16CN0ECW6HQW64YMVV6,Jamaica,2022-11-23 22:16:15+00:00
"RT @iRealPedro: If Brazil lose, half a Jamaica drop dung",LAZIMOZ4URU2GZHF90Y2GERIO,bkm_876,7RHKEFRXOVO9KBK7517VP5M1Y,J A M A I C A ,2022-11-23 22:16:13+00:00
RT @rodneytwit: @mattis_om @RasBenjiMassop1 @AndrewHolnessJM @HoraceChangJM Just picture all the graduating groups at UWI under one tent ..…,2AKFMZWYG9BCKDZWA54T49VL1,mattis_om,GWNJM5VPJ6VMDOF6J9EDUHAD6,Jamaica,2022-11-23 22:16:01+00:00
"For such a small country, Jamaica has produced an impressively large volume of exceptional music that has had an en… https://t.co/XKKrItVC4W",R6CZDHT6LSV54GL3KLUDY8Y7Y,tracking_angle,6PXVBWZIFOD4UNARQZZJPVVKT,,2022-11-23 22:16:00+00:00
"@babarjatt762 I will do etsy account fully verified and stable for all country
#Canada #California #etsyshop… https://t.co/2XniiVpFdu",LF2BM5HR8NDKGCEGCXJNVVZ5M,akoredeay1999,Q6KWLNJ7SFWFDXCKXZWEYK4V8,,2022-11-23 22:15:49+00:00
RT @_romeko: Jamaica is so UNSERIOUS! They’re giving out party loans to attend Burna Boy concert 😂🤣 https://t.co/gfJyntH5sV,G1AIURQKEIWL8Y31SO8U6AW6R,abRochyy,20SLWN65D1ZZMQW14FJCH2KDI,SW6 ,2022-11-23 22:15:33+00:00
Community &amp; Workers of Jamaica Co-Operative Credit Union Limited (CWJDEFERREDA) – Share Buy Back #Caribbean… https://t.co/AW10i3jybD,ZXJZO7GZJBMASA61H9T49WYSS,caristocks1,IX1EID2N2RKTU7YIHPR651XXF,Discovery Bay St.ann,2022-11-23 22:15:22+00:00
"Pictured here are (from left - seated) NWC President Mark Barnett; Senator Matthew Samuda, Prime Minister Andrew Ho… https://t.co/v1MccvNhxN",HTZYNB6ZZ57R5TVRNTTEXMUG3,NWCjam,NSQXYWLHYBAVNJGEZGRF97MTA,Jamaica,2022-11-23 22:15:17+00:00
"RT @iRealPedro: If Brazil lose, half a Jamaica drop dung",JPJXYBJY7EEB9NMCNKNEPKYUV,Boonsterboon,1YPG4LM3AS8R2MA65OD009FMO,Jamaica ,2022-11-23 22:15:11+00:00
RT @tonetalks: Movies on U.S. slavery need to be accurate. The ships stopped in Jamaica under the English flag. Even then slaves that came…,V6CN8KDZ1INY6ILNU1H3ISOEN,quantumblackne2,TBFAPDZVGW3CZAV2Q0O951YYL,,2022-11-23 22:15:03+00:00
"RT @iRealPedro: If Brazil lose, half a Jamaica drop dung",Z0GKWA757ZMGLHXUQZG8Y1VK1,ThisisKadz,4GO6XFY5O99LHLZP18C494F4L,Jamaica,2022-11-23 22:15:00+00:00
RT @lexCapAlott_: I need to go to Jamaica 2023 for sure !,J4D3AFRG015C4ZSHVTDXZCZK4,ETheVibe2,1TCI7DF1U8DE9LCUJNQ271A7J,,2022-11-23 22:14:55+00:00
"@lizzielevy @2Brushie Quite frankly... Jamaica needs to start over from scratch.
Those before have failed us in one… https://t.co/Hdzj4UBl1Z",2STZE8VSRR1PSFIDXMKIGMT9X,SmithSmithspec,JI5AFFZXL2YMQWJBZMT1KTGZE,Cool Hills of Jamaica,2022-11-23 22:14:55+00:00
@DaAngryOstrich She is a migrate from Jamaica and was elected on a radical GOP Ticket. These are the crops that put… https://t.co/lJw7qQMw5b,YHWZD7RBKS7O93QQEFRV9XLJ9,almoud85,8DWSE5GCOZ5EKOPJV1B1F2DM4,London UK/NY USA,2022-11-23 22:14:54+00:00
"DUKE &amp; HIS JAMAICA FIVE - Kalypso and Ska (1960)
 
 💾 https://t.co/tAZCIvaCDD
 
#reggae #download https://t.co/mO7HD2sBov",OYEM36KQTBKAK86JI6SQJ4ANZ,YourMusicalDr,C6EE65NGXHLJNVNDXPRZ3XZVO,,2022-11-23 22:14:41+00:00
"#WaterWorks | Several key stakeholders gathered at Jamaica House  on Wed., Nov. 23, 2022, to sign the Rio Cobre Pub… https://t.co/4H7fk1plch",5R7FZ8A53PZJVSUQ1YVPXTFCO,NWCjam,UICR8EJ8F743Y7WKUGLBJYT9U,Jamaica,2022-11-23 22:14:35+00:00
"RT @MARCH_LSHTM: 🚨 #JobAlert 🚨

@LSHTM are #hiring a Research Assistant or Research Fellow to support a study on child #malnutrition &amp; adul…",APLPF93KO6N2JKCJQ4H69T09E,joylawn,FWY0EL6B7KH1GRXAXFU3I35VS,"London, UK (sometimes)",2022-11-23 22:14:27+00:00
@mattis_om @RasBenjiMassop1 @AndrewHolnessJM @HoraceChangJM Just picture all the graduating groups at UWI under one… https://t.co/qm8eYuApoC,2ZFK65YP8UCY7UOEEHOT1ITM4,rodneytwit,JRBIXQUIA1FWEST5O2TR02UQA,global,2022-11-23 22:14:24+00:00
"RT @lijitimate: Reggae Boyz beat Japan in 1998, so basically Jamaica beat Germany. Thank you all for reading.",Q7LVTVYZN5MJTIWQ1459190NB,xchxmpxgne,R5UYIL2GMWJ8NLVJUJET0ELAX,🇯🇲,2022-11-23 22:14:21+00:00
"RT @lijitimate: Reggae Boyz beat Japan in 1998, so basically Jamaica beat Germany. Thank you all for reading.",PYBBQ5TO6R8UYUA0NBUGTO6U9,Nozzichee,ZCMT5T0KKAX8R9OEDQIHWBLZW,,2022-11-23 22:14:11+00:00
"@jessysbains If we really gonna keep it real, that looks more like team jamaica.",9NIMBL9A6KX0D8SVVANJ740TM,billybo18237742,MR6K1D3TH4815XXZ7UJDIGVCO,,2022-11-23 22:14:04+00:00
"RT @MarcMethot3: @ctvottawa There are people from all walks of life here in Jamaica (UK, US, Canada, etc) while I’m on vacation, and I have…",ZC7UVAFP4QUDN5DY0FEEK9QVK,pinkkkmercedes,153FXM67TFI78JT0S1516KXC2,,2022-11-23 22:13:47+00:00
