text,key,tweet.user.screen_name,Other,user.location,created_at
RT @JamaicaGleaner: Golding says he cannot support an extension of the states of emergency beyond 14 days. https://t.co/kfqIAt5Y6s,EHY6QJDOW3EIAXP3VY3OQIYW2,MarkJGolding,81DPNVTZ1PUB8YP8DHPOPC83O,Jamaica ,2022-11-23 15:01:13+00:00
"RT @JamaicaGleaner: “I commend the Prime Minister on his very animated performance this evening…It was worthy of an Academy Award,” says Op…",9F89L215RZCPCWGD9E949CS63,MarkJGolding,VQZX9GO92Q8J3L6S8UTQRD16B,Jamaica ,2022-11-23 15:01:09+00:00
"What is the role of the SOE under the Constitution?

The SOE is not a routine crime fighting tool to address our ch… https://t.co/YhuWUXPw4V",GNX2D39NJ2TBPKR9I1Z2CYXJH,MarkJGolding,JYMUPDIXNLLL5YZKLY3HJ5MVE,Jamaica ,2022-11-23 13:59:10+00:00
"RT @JamaicaGleaner: Ahead of Tuesday’s anticipated deliberation of a resolution to extend the current SOEs, @MarkJGolding has accused the r…",ML3ZOAT4VIS5HDXA4P0MVJO24,MarkJGolding,3M64T2R2AN5OQ0D2INS1CMYJM,Jamaica ,2022-11-22 18:27:04+00:00
"It’s #YouthMonth &amp; I had an interesting meeting with Orlordo Lawrence, a young Jamaican who is in the US military &amp;… https://t.co/icuzOWzDTR",FCTK5V3KILIR441A4C6GJTVZF,MarkJGolding,BBF292TXV044L68OUC70I0Q36,Jamaica ,2022-11-19 13:11:57+00:00
Glad this administration agrees that #TimeCome for International best standards on Maternity leave and the implemen… https://t.co/qNai4t71PR,MLXMZLV5C063GBS0T0ISC9HU9,MarkJGolding,OASJKM7ZAJESNN0QDIVZTAYDB,Jamaica ,2022-11-18 13:49:57+00:00
We toured some Operation Pride sites in the corporate area. People who were given very modest starts built substant… https://t.co/lcTSXRuLRW,FZI7LF6P3VLGIQD3GGL3KR8SG,MarkJGolding,K9ET4C4HW11VR3ST39G96ZJG7,Jamaica ,2022-11-17 14:20:01+00:00
Sen @slfbinns is correct the bulk of the compensation should go to the fisher folk not the agency that had to be pu… https://t.co/zr1jXQ5TYi,47NI3J1WUGT55TCHXYVZ3EL0K,MarkJGolding,QYI190AI42YRNQOEOQRGZT9LQ,Jamaica ,2022-11-11 13:19:39+00:00
The @JamaicaPNP knows how to balance the books and balance people's lives. Time Come for a Government that… https://t.co/pnPdUylwdb,KLBIXFG7NNZCOX8025PJ8AGUE,MarkJGolding,KZ9Y7JD7Q304TV4OVFXW3YYBF,Jamaica ,2022-11-10 12:47:25+00:00
"They have now found $60 billion more to spend, but only $1.1 billion of it will go to PATH. What about struggling N… https://t.co/iItyoTomY6",SIW1W3HV571MU5XL9ZDW03QE8,MarkJGolding,X9JNJ2WQOVRX1C9XL49FXBZSI,Jamaica ,2022-11-10 12:46:48+00:00
"Furthermore, the bulk of the surplus revenues are from indirect taxes, paid by vulnerable Jamaicans whose incomes a… https://t.co/Z2aAvJmaSz",O84QGNT3NL5P37OK0ML5AFUK8,MarkJGolding,LJYF0OPMNHKDIZUH18M9L1P8R,Jamaica ,2022-11-10 12:45:58+00:00
"The Gov and their friends responded by saying that what I asked for was far-fetched. Well, the surplus revenues (ie… https://t.co/Fa7gzWDlsF",Y3FBHPGAYHTLD40APFPG43F39,MarkJGolding,K3L1PE8922CSXJLA97A0D771J,Jamaica ,2022-11-10 12:44:03+00:00
I have repeatedly called for this Holness Administration to Cushion the Crisis with an additional $40 billion of ex… https://t.co/kycPsAGTFV,LQEQ3HPZSOGYJC11QMELML6AK,MarkJGolding,AGSIRW1B5LLMB0KC3NS8N98NZ,Jamaica ,2022-11-10 12:42:43+00:00
"On October 14, 2022, I &amp; other members of @JamaicaPNP met with the residents of Pleasant Hill/Lluidas Vale, St. Cat… https://t.co/kDyLDb3BbJ",SJM8FP054WRZO0PMQ48TX0WYG,MarkJGolding,CMAPNHYOD0AP0PKR7I937EHDL,Jamaica ,2022-11-08 14:00:50+00:00
Congratulations Constable! It was my pleasure to assist. Keep up the hard work. I look forward to your continued pr… https://t.co/bQ0aFc4Yyg,3O6174OBKPS1DPGLH1CDHWWM7,MarkJGolding,ZMF8U6FV0PY5JHU3GD5PIWKRM,Jamaica ,2022-11-07 15:51:27+00:00
When they say we must stop politicising crime what they mean is that they don't want us to hold them responsible fo… https://t.co/smIDBjga0W,8KFHPT74P9ZK1Y0XC2X4HOED3,MarkJGolding,XYR1SWNQEAOFIXAXP34CFZHL9,Jamaica ,2022-11-07 15:11:29+00:00
Under the @JamaicaPNP leadership of Mark Golding we are committing to you that we will make the process of land own… https://t.co/zrX27ON50Q,8NWGRNDI1HXPQUNUCN71A7G9Q,MarkJGolding,UN78RA2QT5QFE9MQHBOZBPME8,Jamaica ,2022-11-07 15:03:28+00:00
Since 2016 when those 30 buses came there has been no more buses added to the JUTC fleet @MikaelPhillips #TimeCome https://t.co/bigrQPP4nj,O0LRVGL06D0VNAZE6TKBE2N9B,MarkJGolding,F9K15HLHHHGRKX3XOWEJK94P3,Jamaica ,2022-11-07 14:57:59+00:00
We want to see local government work! #TimeCome https://t.co/3npqt7JQSb,WU6JWNM89SGKYSCE7M4AQ0NZ3,MarkJGolding,DP9ADTZYXC5Y6DY6GB28Z4DAU,Jamaica ,2022-11-07 14:54:13+00:00
We must start with a balanced and holistic approach that starts with tackling the root cause of crime https://t.co/TGS662PBOo,BA6YOEF2LQU0AEZUNLUX8STFV,MarkJGolding,NAYKLRBR2BCO8WAEOJQ3DQMEE,Jamaica ,2022-11-07 14:51:27+00:00
Last night was our first in a series of Town Halls. We started in Portmore and we were heartened by the turnout by… https://t.co/6CUnlURwO4,IH7CDMUEPA8GRRIVJBNMPGX3V,MarkJGolding,IR9GHVZEMRHARYGX5DEIMBTA0,Jamaica ,2022-11-07 14:48:06+00:00
"Our sympathies and solidarity go out to the people of Belize, as they cope with the devastation caused by Hurricane… https://t.co/h1y9Z9QWEp",JWCK74F6LZJVEPWVF09ET0WC7,MarkJGolding,7LL9XH0WXRKRMQM83SD2788BG,Jamaica ,2022-11-05 16:35:11+00:00
Big shout out to Jaydon Hibbert from my constituency on being nominated by @WorldAthletics for Male Rising Star of… https://t.co/53bZJR4kud,WUOJVBQLQXVLT5TZL2QEF6WOE,MarkJGolding,Q9QXAABEFE911Z9IVRIEURZY3,Jamaica ,2022-11-02 20:36:37+00:00
"NOT fake news, as the Health Minister alleged yesterday. Even saying it was fabricated by the PNP. This scandal was… https://t.co/uhzS88UbI7",1BB7WN2W7KYCPUZIRFYJFH06H,MarkJGolding,OKHSWBB460LOL3AZ8PHRN2GJ8,Jamaica ,2022-11-02 13:12:22+00:00
"28th Oct was the b’day of OT Fairclough, one of the founders of our Party. He paved the way for our iconic founder,… https://t.co/jX2BhQaER9",4PCUOZL25MYJ723VTAFFK7SGL,MarkJGolding,MLYPNCM84Z5RTBSS8ISPTPOBK,Jamaica ,2022-10-31 23:31:05+00:00
